,match_id,season,team1,team2,toss_winner,toss_decision,match_winner,winner_wickets,winner_runs,player_of_match,venue,outcome,method,eliminator,team1_win_percentage_against_team2,avg_1st_innings,avg_2nd_innings
603,421,2014,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,7.0,0.0,KK Nair,Feroz Shah Kotla,Normal,Not D/L,NA,38.89,162.0,148.0
604,420,2014,Punjab Kings,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,5.0,0.0,CJ Anderson,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,45.16,169.0,159.0
605,419,2014,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0.0,34.0,RA Jadeja,JSCA International Stadium Complex,Normal,Not D/L,NA,35.71,149.0,145.0
606,418,2014,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,0.0,15.0,B Kumar,Dubai International Cricket Stadium,Normal,Not D/L,NA,42.86,164.0,149.0
607,417,2014,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,NA,0.0,0.0,JP Faulkner,Sheikh Zayed Stadium,tie,Not D/L,Rajasthan Royals,51.85,159.0,146.0
608,416,2014,Punjab Kings,Royal Challengers Bangalore,Kings XI Punjab,field,Punjab Kings,5.0,0.0,Sandeep Sharma,Dubai International Cricket Stadium,Normal,Not D/L,NA,54.84,164.0,149.0
609,415,2014,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,5.0,0.0,DR Smith,Sharjah Cricket Stadium,Normal,Not D/L,NA,26.32,159.0,148.0
610,414,2014,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Delhi Daredevils,6.0,0.0,M Vijay,Sharjah Cricket Stadium,Normal,Not D/L,NA,50.0,159.0,148.0
611,413,2014,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,0.0,23.0,Sandeep Sharma,Sheikh Zayed Stadium,Normal,Not D/L,NA,65.62,159.0,146.0
612,412,2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,6.0,0.0,PV Tambe,Sheikh Zayed Stadium,Normal,Not D/L,NA,51.72,159.0,146.0
613,411,2014,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,7.0,0.0,MM Sharma,Dubai International Cricket Stadium,Normal,Not D/L,NA,44.44,164.0,149.0
614,410,2014,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,4.0,AJ Finch,Dubai International Cricket Stadium,Normal,Not D/L,NA,66.67,164.0,149.0
615,409,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0.0,2.0,CA Lynn,Sharjah Cricket Stadium,Normal,Not D/L,NA,56.25,159.0,148.0
616,408,2014,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,0.0,7.0,RA Jadeja,Dubai International Cricket Stadium,Normal,Not D/L,NA,53.57,164.0,149.0
617,407,2014,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,0.0,47.5,GJ Maxwell,Sharjah Cricket Stadium,Normal,Not D/L,NA,66.67,159.0,148.0
618,406,2014,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0.0,47.5,SK Raina,Sheikh Zayed Stadium,Normal,Not D/L,NA,33.33,159.0,146.0
619,405,2014,Punjab Kings,Rajasthan Royals,Kings XI Punjab,field,Punjab Kings,7.0,0.0,GJ Maxwell,Sharjah Cricket Stadium,Normal,Not D/L,NA,38.46,159.0,148.0
